Fecha,Small Grant or particularly relevant,Checked,Publicar en boletin,Publicar en DB Publica,Estatus,Days left,Nombre,Tipo,Gran area 1,Gran area 2,area 3,area 4,area 5,area 6,area 7,Link,Descripcion,nota,Restricciones para aplicar / Elegibilidad,Based on,Entidad otorgante,Scope geografico,Scope econo-politico,Scope temático,Destinatarios1,Destinatarios2,Destinatarios3,Destinatarios4,Duracion de los proyectos/ Periodo de financiación,Moneda original,Monto en moneda original,monto minimo (aprox en U$S),monto maximo (aprox en U$S),monto tipico/promedio otorgado (U$S),periodicidad,dead 1,dead 2,dead 3,dead 4,Fecha próximo deadline,Fecha Decision/Publicación de resultados,Aplicar mas de una vez,Aim,N
08-02-22,TRUE,TRUE,publicar,publicar,Abierto,Abierto,Grants in Natural and Earth Sciences,Research and publications,Agricultural and Biological Sciences,Biodiversity and Wildlife Conservation,Marine and Ocean Sciences,Marine Biology,Environmental sciences,Climate change,,https://www.vetlesenfoundation.org/index.php/application-guidelines/,"The G. Unger Vetlesen Foundation makes grants for research and operational support in marine and ocean conservation, earth sciences, climate change, and wildlife management. Past grants range from US$25 thousand to US$700 thousand. Grants are to U.S. nonprofit organizations for projects ranging from local to international. Applications (first stage) are accepted on a continuous basis.",,,USA,G. Unger Vetlesen Foundation,,,,,,,,,,,,,,year-round,Ongoing,,,,#NAME?,,,,FALSE
03-02-21,TRUE,TRUE,publicar,publicar,Abierto,Abierto,Project Apis m. Research Grant,Research and publications,Agricultural and Biological Sciences,Apicultura,Honey Bees,Sustainable Development and Conservation,Apis,,,https://www.projectapism.org/request-funding.html,"Since its inception in 2006, Project Apis m. has infused over $6 million into bee research and programs in the USA and Canada, including more than 100 projects involving research institutions throughout North America. We have brought new technologies to honey bee health research, discovered new pathogens, developed Best Management Practices programs, and are supporting long-term stock improvement. ","Project Apis m. funds research institutions, USDA-ARS, universities, agricultural extension, etc. primarily in the USA and Canada. International applications can be considered, but will be held to the same expectation of benefitting agriculture and bees in the USA and Canada. Our scientific advisors are attentive to scientific methods, proper controls, and reproducible results. Proposals should be clear cut, have practical implications, and generally lend themselves to statistical interpretation.",,,Project Apis m.,,,,Academic Institutions,,,,,,"Up to 40,000 USD",,,,year-round,Ongoing,,,,#NAME?,,,,FALSE
03-02-21,TRUE,TRUE,publicar,publicar,Abierto,Abierto,Rufford Fundation small grants,Research and publications,Agricultural and Biological Sciences,Biodiversity and Wildlife Conservation,,,,,,https://apply.ruffordsmallgrants.org/,Prioridad a investigaciones ecológicas con foco en la conservación. El financiamiento esta orientado a las ideas innovadoras y el fortalecimiento de  la etapa inicial en carreras de investigación independiente en ecología.,"Applications for grants will still be accepted and processed in the normal way. However, if a grant is approved, the funds will not be released until the pandemic is deemed to be over.","Enfocado en (no restringido a) MSc, estudiantes de doctorado y investigadores en etapas iniciales de su carrera",United Kingdom,Rufford Fundation,worldwide,Países en desarrollo,Conservación de la biodiversidad,,Graduate Students,,Mid-Career and Experienced Researchers,Minimo 12 meses,libras esterlinas,5000-15000,,20,8000,year-round,Ongoing,,,,#NAME?,3 meses posterior a la presentacion completa,"Si no seleccionado, el mismo proyecto puede volver a presentarse despues de 12 meses. Sin limite para proyectos distintos",Financiación inicial para proyectos de conservación de la naturaleza en países en desarrollo,FALSE
03-02-21,TRUE,TRUE,publicar,publicar,Abierto,Abierto,Small Grants for Student Research,Research and publications,Agricultural and Biological Sciences,Botany,Plant Science,,,,Zingiberales,https://www.heliconia.org/research,"The Heliconia Society International makes small grants supporting research on any aspects of the botany and horticulture of the Zingiberales conducted by graduate and post-doctoral students enrolled at recognized universities and research institutions. Annual grants are US$1,000. Awardees will also receive one year's free membership to the HSI, and a summary of their research proposal will be published in the HSI Bulletin. There is no deadline to apply.",,,India,Heliconia Society International,,,,,,,,,,,,,,year-round,Ongoing,,,,#NAME?,,,,FALSE
03-02-21,TRUE,TRUE,publicar,publicar,Abierto,Abierto,Funding for Research Stays in Norway,Research Stays,Agricultural and Biological Sciences,Environmental science,Climate change,Sustainable energy,Ocean research,,,https://www.forskningsradet.no/en/call-for-proposals/2019/funding-for-research-stays-in-norway-for-guest-researchers/,"The Research Council of Norway funds researchers from other countries to carry out a research stay at a Norwegian research organization. Research stays can last up to 12 months. The support under this call applies across multiple activities, including climate change, sustainable energy, or ocean research. The application has to be submitted by a Norwegian research organization in support of the foreign visiting researcher. This call has an open-ended submission deadline.",,,Norway,Research Council of Norway,,,,,,,,,,,,,,year-round,Ongoing,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Gender and Artificial Intelligence Challenge,Prizes and Awards,ALL AREA,,,,,,,https://convocatorias.iadb.org/en/bid-lab/gender-and-artificial-intelligence-challenge,"desafío de innovación abierta para identificar, pilotar y acelerar soluciones tecnológicas basadas en inteligencia artificial (IA) que contribuyan , a través del concepto de justicia algorítmica, para reducir los sesgos y la discriminación por razón de sexo y género.",,,,,,,,,,,,,,,,,,,31-Aug-22,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Solicitudes abiertas para el programa Researcher Connect del British Council,Programs and projects,All Areas of scienses,,,,,,,https://bit.ly/2VotZZ1," mejorar la productividad de los investigadores individuales y, a su vez, proporcionar a las universidades e instituciones de investigación clientes una ventaja competitiva en el rápido movimiento. entorno de investigación internacional .",,,,,,,,,,,,,,,,,,,21-Aug,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,publicar,,#NAME?,0,BIOCHEMISTRY GENETICS AND MOLECULAR BIOLOGY,titulo,Biochemistry Genetics and Molecular Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,World Academy of Sciences -- Biotechnology Research Fellowships in India,Fellowships scholarships or trainings,Biochemistry Genetics and Molecular Biology,Agricultural and Biological Sciences,,,,,,https://twas.org/opportunity/twas-dbt-postgraduate-fellowship-programme,programa de becas para académicos de países en desarrollo para realizar investigaciones para obtener un doctorado en biotecnología.,,,,,,,,,,,,,,,,,,,31-Aug-22,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,publicar,,#NAME?,0,CHEMICAL AND BIO ENGINEERING,titulo,Chemical and Bio Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,publicar,,#NAME?,0,CONSERVATION,titulo,Chemical and Bio Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Both ENDS — JWH Initiative,Programs and projects,Chemical and Bio Engineering,Sustainable Development,,,,,,http://www.jwhinitiative.org/grantees/upcoming/,ofrece subvenciones para promover el liderazgo de jóvenes que trabajan para organizaciones ambientales de la sociedad civil o están afiliados a ellas en países en desarrollo y emergentes.JWH alienta especialmente la nominación de mujeres jóvenes y líderes de la comunidad local.,,,,,,,,,,,,,EUROS,,2500,7,,,24-Aug-22,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Wildlife Acoustics – Bio-Acoustics Product Grants,Programs and projects,Conservation,,,,,,,https://www.wildlifeacoustics.com/grant-programm,"avanzar en la investigación de la biología animal, el monitoreo del hábitat y la conservación del medio ambiente a través de la tecnología de grabación bioacústica",,,,,,,,,,,,,USD,4000,,,,,15-may,15-Aug,15-nov,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Morris Animal Foundation — Amphibian Conservation,Programs and projects,Conservation,,,,,,,https://www.morrisanimalfoundation.org/sites/default/files/filesync/FY23-Wildlife-RFP-Wild-Genomes-Proposal-Guidelines.pdf,financia a conservacionistas interesados ​​en aplicar conocimientos genéticos a la protección y gestión de la vida silvestre de anfibios.,,,,,,,,,,,,,,,,,,,19-Aug-22,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Presentar propuestas para el bienestar y la ecología de los animales silvestres juveniles,Programs and projects,Conservation,,,,,,,https://www.wildanimalinitiative.org/research-fund/juvenile-welfare,"Los proyectos relevantes pueden incluir estudios que extiendan las técnicas de evaluación del bienestar de los animales en cautiverio a los animales silvestres juveniles, o aquellos que demuestren cómo los conceptos ecológicos pueden relacionarse con la salud y el bienestar de los animales silvestres .",,,,,,,,,,,,,usd,,25000,250000,,,21-Aug,,,,#NAME?,,,,FALSE
8/18/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Future for Nature Foundation — Future for Nature Award 2023,Prizes and Awards,Conservation,,,,,,,https://futurefornature.org/apply/,El trabajo relacionado con la conservación y protección de especies en peligro de extinción es una prioridad.,,,,,,,,,,,,,EUROS,50000,,,,,28-Aug-22,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Hawk Conservancy Trust — Marion Paviour Award,Prizes and Awards,Conservation,,,,,,,https://www.hawk-conservancy.org/conservation-research/marion-paviour-award/,apoya a los investigadores principiantes que trabajan en proyectos centrados en la conservación y/o investigación de aves rapaces.,,,,,,,,,,,,,LIBRAS,1000,,,,,31-Aug-22,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Peoples Trust for Endangered Species — Conservation Insight Grants,Programs and projects,Conservation,,,,,,,https://ptes.org/grants/apply-grant/worldwide-grant-criteria/,"subvenciones a investigadores científicos y conservacionistas de todo el mundo para trabajos que ayuden a preservar especies en peligro de extinción, ya sea mediante investigación o trabajo de campo aplicado",,,,,,,,,,,,,LIBRAS,,3000,10,,,07-Sep-22,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,World Water Challenge 2022 from Across the World,Prizes and Awards,Conservation,,,,,,,https://kiww.org/fairContents.do?FAIRMENU_IDX=5815&hl=ENG,"Las solicitudes ya están abiertas para el World Water Challenge 2022, un concurso internacional para soluciones de agua.",,,,,,,,,,,,,USD,,1000,10,,,15-Sep-22,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Lady Freethinker announces Urgent Need Fund,Programs and projects,Conservation,,,,,,,https://ladyfreethinker.org/urgent-needs-grants-program/,The Lady Freethinker se complace en anunciar una convocatoria abierta para el Fondo de Necesidades Urgentes para ayudar a las organizaciones involucradas en el rescate y cuidado de animales necesitados.,,,,,,,,,,,,,USD,,1000,10,,,23-Sep-22,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Nominations for the 2023 Stockholm Water Prize are Now Open,Prizes and Awards,Conservation,Environmental sciences,,,,,,https://siwi.org/stockholm-water-prize/nominate?iproject=stockholm-water-prize,personas y organizaciones que han hecho contribuciones destacadas al uso sostenible y la protección de los recursos hídricos del mundo.,,,,,,,,,,,,,USD,,100000,500,,,30-Sep-22,,,,#NAME?,,,,FALSE
10-07-21,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Fortalecimiento del trabajo decente en el sector pesquero en América del Sur Departamento de Trabajo Oficina de Asuntos Laborales Internacionales,Programs and projects,Conservation,Sustainable Development,,,,,,https://www.grants.gov/web/grants/view-opportunity.html?oppId=335252,"implementar un proyecto con el objetivo de fortalecer el trabajo decente en el sector pesquero en América del Sur. Para apoyar el logro del objetivo, el proyecto debe diseñarse para lograr (o contribuir sustancialmente",,,,,,,,,,,,,usd,5000000,,,,,30-Sep,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,"The Conservation Leadership Program (CLP) makes grants to advance the leadership capacity of early-career conservationists in the developing world. Grants combine research with conservation. CLP provides support to small teams of at least three individuals. Future Conservationist Awards are up to US$15 thousand. Follow-Up Awards and Leadership Awards are up to US$25 thousand and US$50 thousand, respectively. CLP explains each category of award; eligibility criteria; and details on how to apply. CLP offers support to early-career conservationists living and working in low- and middle-income economies in Africa, Asia, the Pacific, Latin America and the Caribbean, Eastern and South-eastern Europe and the Middle East. The application deadline is 10 October 2022.",Programs and projects,Conservation,,,,,,,https://www.conservationleadershipprogramme.org/grants/grant-overview/future-conservationist-award/,otorga subvenciones para promover la capacidad de liderazgo de los conservacionistas en las primeras etapas de su carrera en el mundo en desarrollo. Las subvenciones combinan la investigación con la conservación.,,,,,,,,,,,,,USD,,15000,25,,,10-oct-22,,,,#NAME?,,,,FALSE
10-07-21,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Small Grants for Well-Being and Protection of Birds,Programs and projects,Conservation,,,,,,,https://capecodbirdclub.org/wordpress/conservation-education/,apoyar los esfuerzos de conservación relacionados directa o indirectamente con el bienestar o la protección de las aves.,,,,,,,,,,,,,US,1000,,,,,01-nov-22,,,,#NAME?,,,,FALSE
4/13/2021,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,USAID: Anuncio amplio de la agencia para paisajes sostenibles,Research and publications,Conservation,Environmental sciences,,,,,,https://www.grants.gov/web/grants/view-opportunity.html?oppId=329220,"co-crear, co-diseñar, co-invertir y colaborar en la investigación, desarrollo, pilotaje y escalado de intervenciones innovadoras para reducir las emisiones de gases de efecto invernadero (GEI) terrestres y aumentar secuestro de carbono a largo plazo a gran escala."," organizaciones , empresas, fundaciones, empresas comunitarias y otras entidades públicas y privadas, instituciones académicas y de investigación, agencias gubernamentales de países socios e inversores a proponer enfoques novedosos o creativos para lograr estos objetivos. y al mismo tiempo promover el crecimiento económico inclusivo, conservar la biodiversidad y gestionar de manera sostenible los recursos naturales, promover los valores democráticos, promover la transparencia y el estado de derecho, y contribuir a una mayor prosperidad y bienestar.",,,USAID,,,plataformas unificadoras para la acción y otras soluciones que pueden hacer contribuciones transformadoras para reducir las emisiones de GEI terrestres y aumentar el secuestro de carbono a largo plazo en áreas boscosas y productivas. paisajes de todo el mundo.,,,,,,,0,,,,,24-nov-22,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,,#NAME?,#NAME?,Conservation and Research in Latin America and the Caribbean,Programs and projects,Conservation,,,,,,,http://www.neotropicalbirdclub.org/conservation/conservation-fund/,"The Neotropical Bird Club offers research grants for conservation work, or for research which may be of conservation benefit. Awards of US$1,500 and US$3,000 are for projects carried out by nationals and/or residents of countries in the Neotropics (i.e. the Caribbean, Central America, and South America). The Juan Mazar Barnett award (up to US$5,000) is to encourage early-career neotropical bird conservationists and researchers. Application guidelines are available in English and Spanish. The deadlines are 01 January and 01 July of each year. Investigación para trabajos de conservación o para investigaciones que puedan ser beneficiosas para la conservación.",,,UK,Neotropical Bird Club,,,,,,,,,usd,,1500,5,,semiannual,01-Jan-20,01-jul-20,,,#NAME?,,,,FALSE
10-07-21,TRUE,TRUE,#NAME?,,#NAME?,#NAME?,,Programs and projects,Conservation,,,,,,,https://waterbirds.org/research-grants/,"promover la biología, la ecología o la biología de la conservación de las aves zancudas.",,,,,,,,,,,,,usd,1000,7000,,,,01-feb-20,,,,#NAME?,,si,,FALSE
08-02-22,TRUE,TRUE,publicar,,#NAME?,0,EDUCATION,titulo,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,publicar,,#NAME?,0,ENGINEERING,titulo,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Sustainable Energy for All — Sustainable Cooling Solutions,Programs and projects,Engineering,Sustainable Development,,,,,,https://www.seforall.org/thisiscool-challenge,soluciones de refrigeración sostenibles dirigidas por jóvenes que puedan mejorar la asequibilidad y aumentar el acceso a la refrigeración sostenible.,,,,,,,,,,,,,,,,,,,30-Aug-22,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,publicar,,#NAME?,0,ENVIRONMENTAL SCIENCES,titulo,Environmental sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Tyler Prize for Environmental Achievement -- Nominations for Prize in 2023,Prizes and Awards,Environmental sciences,Medicine and Health Sciences,Sustainable Development,,,,,https://tylerprize.org/nominate/nomination-procedure/,"reconocer logros excepcionales en ciencias ambientales, energía o medicina.",,,,,,,,,,,,,USD,250000,,,,,12-Aug-22,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,United Nations Environment Programme — Waste Management in Developing Countries,Programs and projects,Environmental sciences,,,,,,,https://www.unep.org/explore-topics/chemicals-waste/what-we-do/special-programme/applying-funding-through-special,presentar solicitudes para un programa especial sobre gestión de desechos en países en desarrollo. El programa puede brindar apoyo financiero,,,,,,,,,,,,,USD,,50000,250,,,12-Aug-22,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,ORRAA providing Grants to finance Next-gen of Innovative Ocean Finance Projects,Programs and projects,Environmental sciences,,,,,,,https://oceanriskalliance.org/resource/financing-the-next-generation-of-innovative-ocean-finance-projects/,"propuestas de apoyo financiero para implementar la próxima generación de productos innovadores de seguros y finanzas costeras y oceánicas o desarrollar herramientas que analicen, predigan y reduzcan mejor el riesgo oceánico.",,,,,,,,,,,,,USD,,100000,500,,,14-Aug-22,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Yale Jackson School of Global Affairs — Climate Leaders Fellowship,Fellowships scholarships or trainings,Environmental sciences,Sustainable Development,,,,,,https://jackson.yale.edu/international-leadership-center/climate/program-details/,"ofrece a 16 jóvenes profesionales del clima y la energía limpia de todo el Sur Global la oportunidad de ampliar sus habilidades técnicas y profundizar sus redes profesionales a través de un programa de capacitación de ocho meses. Los solicitantes deben tener entre cinco y diez años de carrera profesional y provenir de países en desarrollo de África, Asia, Medio Oriente y América Latina o el Caribe.",,,,,,,,,,,,,,,,,,,15-Aug-22,,,,#NAME?,,,,FALSE
08-02-22,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Joint Call for Proposals on Food System,Programs and projects,Environmental sciences,Conservation,Agricultural and Biological Sciences,,,,,https://susfood-db-era.net/main/node/29485,"El objetivo de la Convocatoria es impulsar proyectos de investigación, desarrollo e innovación de excelencia científica, multidisciplinares y multiactor. El alcance de la convocatoria es financiar proyectos que faciliten la transición de los sistemas alimentarios lineales actuales a sistemas circulares resilientes, incluido un uso óptimo de los recursos y una menor vulnerabilidad a los choques teniendo en cuenta las interdependencias dentro de los sistemas y sus partes interesadas.",,"The following partner countries/regions will provide funds for the Call: Algeria, Argentina, Belgium (F.R.S.-FNRS and VLAIO), Estonia, Finland, France, Ireland, Italy, Morocco, Norway, Romania, Turkey and the United Kingdom.",,,,,,,,,,,euros,,,7.850.000,,,16-Aug-22,,,,#NAME?,,,,FALSE
8/18/2021,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Gobernanza multinivel del agua,Fellowships scholarships or trainings,Environmental sciences,,,,,,,https://thehagueacademy.com/blog/2020/12/multilevel-water-governance-7/,curso mixto orientado a la práctica sobre la gobernanza del agua. Los participantes recibirán capacitación y visitarán varios ejemplos holandeses de proyectos de agua con el fin de utilizar este conocimiento para desarrollar soluciones prácticas para los desafíos que enfrentan en su país de origen.,,,,,,,,,,,,,EUROS,,,3.595,,,19-Aug-22,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,Hague Academy for Local Governance — Course on “Multilevel Water Governance”,Fellowships scholarships or trainings,Environmental sciences,Engineering,,,,,,https://thehagueacademy.com/course/multilevel-water-governance/,curso mixto orientado a la práctica sobre la gobernanza del agua. Los participantes recibirán capacitación y visitarán varios ejemplos holandeses de proyectos de agua con el fin de utilizar este conocimiento para desarrollar soluciones prácticas para los desafíos que enfrentan en su país de origen,,,,,,,,,,,,,,,,,,,19-Aug-22,,,,#NAME?,,,,FALSE
7/31/2022,TRUE,TRUE,#NAME?,publicar,#NAME?,#NAME?,World Ocean Initiative — Ocean Changemakers Challenge,Prizes and Awards,Environmental sciences,,,,,,,https://ocean.economist.com/events/ocean-changemakers-challenge,"busca soluciones comerciales para los desafíos de sostenibilidad relacionados con los océanos. El desafío está dirigido a investigadores y profesionales principiantes, empresarios e innovadores con soluciones a los desafíos oceánicos, p. contaminación marina, sobrepesca y sobreexplotación de los recursos marinos, acuicultura insostenible o destrucción de los hábitats oceánicos. ",,,,,,,,,,,,,,,,,,,19-Aug-22,,,,#NAME?,,,,FALSE
